country_code,country_name,year,coal_share_energy,oil_share_energy,gas_share_energy,nuclear_share_energy,renewables_share_energy,hydro_share_energy,solar_share_energy,wind_share_energy,biofuel_share_energy,primary_energy_consumption
ISR,Israel,1993,24.94958877563477,74.87388610839844,0.1331130117177963,0.0,0.0434127636253833,0.0434127636253833,0.0,0.0,0.0,166.3663787841797
ISR,Israel,1994,25.34630012512207,74.49905395507812,0.117833711206913,0.0,0.0368098095059394,0.0368098095059394,0.0,0.0,0.0,173.5689697265625
ISR,Israel,1995,24.599414825439453,75.24288940429688,0.1221185997128486,0.0,0.0355753377079963,0.0355753377079963,0.0,0.0,0.0,195.20835876464844
ISR,Israel,1996,28.776838302612305,71.1162109375,0.0739983320236206,0.0,0.032955564558506,0.032955564558506,0.0,0.0,0.0,202.296875
ISR,Israel,1997,28.61653709411621,71.27127838134766,0.0807916745543479,0.0,0.031393215060234,0.031393215060234,0.0,0.0,0.0,221.21292114257807
ISR,Israel,1998,29.19105529785156,70.7308578491211,0.0482569970190525,0.0,0.0298314820975065,0.0298314820975065,0.0,0.0,0.0,232.7935943603516
ISR,Israel,1999,27.662900924682617,72.2572250366211,0.0418830923736095,0.0,0.0379940532147884,0.0379940532147884,0.0,0.0,0.0,241.27169799804688
ISR,Israel,2000,31.994539260864254,67.9276351928711,0.0399520099163055,0.0,0.037873413413763,0.037873413413763,0.0,0.0,0.0,227.3711395263672
ISR,Israel,2001,36.95663833618164,62.9771728515625,0.0418720766901969,0.0,0.0243162158876657,0.0121581079438328,0.0,0.0121581079438328,0.0,227.21246337890625
ISR,Israel,2002,38.295677185058594,61.57928085327149,0.0366407036781311,0.0,0.0884002372622489,0.0248231254518032,0.0,0.0130025902763009,0.0505745187401771,231.7825164794922
ISR,Israel,2003,38.516361236572266,61.352088928222656,0.032295536249876,0.0,0.0992539897561073,0.0353679209947586,0.0,0.0136908087879419,0.0501952543854713,238.83599853515625
ISR,Israel,2004,38.14387130737305,57.12360763549805,4.63853931427002,0.0,0.093979425728321,0.0311647932976484,0.0,0.0122433109208941,0.0505713187158107,243.4890289306641
ISR,Israel,2005,37.743648529052734,55.77688980102539,6.3622894287109375,0.0,0.1171703711152076,0.0307668410241603,0.0,0.0120869725942611,0.0743165537714958,244.6494903564453
