dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name
35210955,27.4,2.6,4.3,0.0,9.4,1.7,0.0,0.0,0.0,0.0,0.0,71.8,0.0,StatCan area #35210955
35210956,43.1,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9,0.0,StatCan area #35210956
35210957,31.5,2.8,0.0,10.5,0.0,6.1,3.3,0.0,0.0,2.2,0.0,64.6,3.9,StatCan area #35210957
35210958,59.2,18.3,0.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,2.8,StatCan area #35210958
35210959,21.1,1.8,2.9,2.9,3.6,0.0,2.2,0.0,0.0,1.1,0.0,78.5,0.7,StatCan area #35210959
35210961,28.5,8.0,5.5,1.8,4.0,0.0,2.9,3.3,0.0,0.0,0.7,70.4,0.7,StatCan area #35210961
35210964,23.6,0.0,0.0,2.8,0.0,3.8,7.5,2.8,0.0,0.0,0.0,73.6,1.9,StatCan area #35210964
35210967,17.0,0.0,6.4,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,StatCan area #35210967
35210970,36.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,StatCan area #35210970
35210972,16.2,9.1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,83.8,0.0,StatCan area #35210972
35210973,27.1,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,0.0,StatCan area #35210973
35210974,33.7,6.9,5.9,6.9,3.0,0.0,5.9,2.0,0.0,0.0,0.0,66.3,0.0,StatCan area #35210974
35210975,58.8,24.4,0.0,7.6,9.2,0.0,0.0,6.7,5.0,0.0,0.0,41.2,0.0,StatCan area #35210975
35210976,79.3,29.4,5.0,7.0,8.4,5.0,2.0,17.7,0.0,0.7,0.0,21.1,0.0,StatCan area #35210976
35210977,50.3,1.3,0.0,15.5,18.7,9.0,0.0,0.0,0.0,0.0,0.0,49.7,0.0,StatCan area #35210977
35210981,28.6,0.0,4.5,5.4,8.0,0.0,1.8,5.4,0.0,0.0,0.0,71.4,0.0,StatCan area #35210981
35210984,32.0,5.8,8.7,2.1,2.5,1.7,0.0,2.9,0.0,0.0,0.0,66.4,1.7,StatCan area #35210984
35210985,38.2,8.9,4.9,7.3,0.0,0.0,4.1,0.0,2.4,2.4,0.0,59.3,1.6,StatCan area #35210985
35210989,53.2,18.2,3.2,11.7,1.3,5.8,4.5,1.3,0.0,0.0,0.0,46.8,0.0,StatCan area #35210989
35210993,33.8,9.9,5.6,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,66.2,0.0,StatCan area #35210993
35210996,24.6,8.2,4.5,5.2,0.0,0.0,1.5,0.0,0.0,0.0,0.0,75.4,0.0,StatCan area #35210996
35210997,68.5,29.4,2.9,4.6,2.5,5.9,15.5,0.0,4.6,0.0,0.0,31.5,0.0,StatCan area #35210997
35210998,26.1,3.4,3.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9,0.0,StatCan area #35210998
35210999,18.8,9.4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.2,0.0,StatCan area #35210999
35211000,31.5,9.6,6.8,2.7,5.5,0.0,0.0,0.0,0.0,0.0,0.0,68.5,0.0,StatCan area #35211000
35211001,23.8,9.5,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.6,0.0,StatCan area #35211001
35211003,27.6,2.8,11.0,1.4,2.8,0.0,0.0,0.0,2.1,0.0,0.0,73.1,0.0,StatCan area #35211003
35211005,39.2,16.7,0.0,3.9,5.9,0.0,0.0,4.9,0.0,0.0,0.0,60.8,0.0,StatCan area #35211005
35211006,50.4,13.3,0.0,19.3,12.6,0.0,0.0,0.0,0.0,0.0,0.0,48.1,1.5,StatCan area #35211006
35211007,14.5,0.0,0.0,0.0,2.6,0.0,0.0,7.7,0.0,0.0,0.0,84.6,0.0,StatCan area #35211007
35211008,22.8,2.7,3.3,2.2,6.5,0.0,0.0,5.4,0.0,0.0,0.0,73.9,2.7,StatCan area #35211008
35211009,41.8,19.1,2.7,3.6,5.5,0.0,1.8,4.5,0.0,0.0,0.0,59.1,0.0,StatCan area #35211009
35211010,42.5,0.0,6.2,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,56.2,0.0,StatCan area #35211010
35211011,37.7,0.0,9.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7,0.0,StatCan area #35211011
35211013,24.2,11.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.8,0.0,StatCan area #35211013
35211014,29.8,9.6,3.7,3.7,2.7,3.7,1.6,0.0,0.0,0.0,0.0,70.2,0.0,StatCan area #35211014
35211016,57.9,21.1,0.0,7.4,8.4,0.0,8.4,0.0,0.0,0.0,0.0,41.1,0.0,StatCan area #35211016
35211017,59.5,20.3,10.1,2.5,3.8,0.0,0.0,8.9,0.0,0.0,0.0,40.5,0.0,StatCan area #35211017
35211018,56.3,12.6,4.6,5.7,10.3,5.7,0.0,6.9,0.0,0.0,0.0,43.7,0.0,StatCan area #35211018
35211019,33.0,14.9,4.3,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,StatCan area #35211019
35211021,57.9,28.1,3.5,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,42.1,0.0,StatCan area #35211021
35211022,69.4,20.8,18.1,2.8,2.8,0.0,0.0,9.7,4.2,0.0,0.0,31.9,0.0,StatCan area #35211022
35211023,57.3,18.3,6.1,3.7,0.0,4.9,0.0,14.6,0.0,0.0,0.0,41.5,0.0,StatCan area #35211023
35211024,67.3,16.1,7.8,12.0,13.8,8.3,0.0,2.8,0.0,0.0,0.0,32.7,0.0,StatCan area #35211024
35211025,56.0,25.9,11.9,4.7,5.7,0.0,0.0,2.6,0.0,1.0,0.0,44.0,0.0,StatCan area #35211025
35211031,87.1,27.1,14.3,22.9,5.7,0.0,0.0,8.6,0.0,0.0,0.0,11.4,0.0,StatCan area #35211031
35211033,79.9,36.3,5.0,12.8,4.5,1.1,11.7,3.4,0.0,0.0,0.0,20.1,0.0,StatCan area #35211033
35211034,86.9,35.2,12.7,16.2,3.1,5.7,1.9,5.4,1.6,2.1,0.0,12.3,0.6,StatCan area #35211034
35211035,55.8,17.4,12.8,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,44.2,0.0,StatCan area #35211035
35211036,80.7,39.0,9.4,9.0,1.8,4.5,9.4,1.8,0.0,0.0,0.0,19.3,0.0,StatCan area #35211036
35211037,94.7,9.8,21.1,36.8,14.3,0.0,0.0,0.0,3.8,0.0,0.0,6.0,0.0,StatCan area #35211037
35211038,72.9,28.8,11.0,7.6,0.0,0.0,1.7,4.2,4.2,0.0,0.0,27.1,0.0,StatCan area #35211038
35211039,85.0,25.8,39.2,0.0,1.7,2.5,0.0,2.5,0.0,0.0,0.0,15.0,0.0,StatCan area #35211039
35211044,59.8,24.3,11.7,0.0,6.1,7.9,0.0,5.1,0.0,1.9,0.0,40.2,0.0,StatCan area #35211044
35211046,75.8,26.1,13.9,4.8,4.2,10.9,10.3,0.0,0.0,1.2,0.0,24.2,0.0,StatCan area #35211046
35211052,70.2,47.9,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,5.3,StatCan area #35211052
35211053,90.4,70.2,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,9.6,0.0,StatCan area #35211053
35211054,89.7,73.2,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,StatCan area #35211054
35211055,87.1,64.7,0.0,12.9,5.2,0.0,2.6,0.0,0.0,0.0,0.0,12.9,0.0,StatCan area #35211055
35211056,83.6,71.9,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,StatCan area #35211056
35211057,84.3,59.6,0.0,19.9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.7,0.0,StatCan area #35211057
35211058,68.5,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,StatCan area #35211058
35211059,85.5,75.2,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,StatCan area #35211059
35211060,69.5,52.4,0.0,7.3,0.0,0.0,4.9,0.0,0.0,0.0,0.0,29.3,0.0,StatCan area #35211060
