dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
35180557,47.3,41.8,8.8,3.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180557
35180558,58.7,27.2,8.7,2.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180558
35180559,51.4,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180559
35180560,58.1,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180560
35180562,63.3,29.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180562
35180563,56.4,30.8,12.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180563
35180564,52.7,35.7,0.0,8.9,0.0,0.0,1.8,0.0,0.0,StatCan area #35180564
35180565,50.0,22.2,16.7,8.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180565
35180566,46.6,48.6,4.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180566
35180567,47.1,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180567
35180568,48.1,39.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180568
35180569,59.2,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180569
35180570,75.8,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180570
35180571,50.0,31.6,11.8,7.9,0.0,0.0,0.0,0.0,0.0,StatCan area #35180571
35180573,60.7,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180573
35180574,56.6,31.3,10.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180574
35180576,53.0,37.3,8.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180576
35180581,54.3,36.2,4.8,5.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180581
35180582,60.3,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180582
35180583,61.4,26.8,4.4,3.3,0.0,0.0,0.7,0.0,2.6,StatCan area #35180583
35180584,71.2,20.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180584
35180585,66.3,20.2,8.7,0.0,0.0,0.0,0.0,0.0,2.9,StatCan area #35180585
35180586,54.4,21.7,12.9,7.2,0.0,2.3,0.0,0.0,1.5,StatCan area #35180586
35180587,70.4,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180587
35180588,43.3,32.6,11.2,11.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180588
35180589,46.2,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180589
35180590,69.7,26.1,1.7,0.0,0.0,0.0,0.0,0.0,1.7,StatCan area #35180590
35180591,56.5,23.3,10.0,8.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180591
35180593,56.4,27.4,9.4,2.6,0.0,0.0,3.4,0.0,0.0,StatCan area #35180593
35180806,61.2,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180806
35180807,45.4,45.4,4.1,0.0,0.0,0.0,0.0,0.0,1.0,StatCan area #35180807
35180808,57.0,20.5,16.0,0.0,2.0,3.0,0.0,0.0,0.0,StatCan area #35180808
35180817,62.4,30.6,2.4,0.0,0.0,0.0,2.4,0.0,0.0,StatCan area #35180817
