dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name
24600102,7.7,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.1,2.2,StatCan area #24600102
24600103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24600103
24600104,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8,0.0,StatCan area #24600104
24600105,5.7,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,88.6,4.3,StatCan area #24600105
24600106,13.3,0.0,0.0,7.0,0.0,3.1,3.9,0.0,0.0,0.0,0.0,85.9,0.0,StatCan area #24600106
24600107,15.5,0.0,0.0,5.2,0.0,0.0,4.3,0.0,0.0,0.0,0.0,82.8,1.7,StatCan area #24600107
24600108,17.6,0.0,0.0,7.8,0.0,0.0,3.9,0.0,0.0,0.0,0.0,81.7,0.0,StatCan area #24600108
24600109,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5,0.0,StatCan area #24600109
24600110,18.9,0.0,0.0,3.3,0.0,12.2,2.2,0.0,0.0,0.0,0.0,81.1,0.0,StatCan area #24600110
24600111,14.5,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,StatCan area #24600111
24600112,4.4,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.6,0.0,StatCan area #24600112
24600113,10.9,0.0,5.2,1.7,0.0,0.0,0.0,1.1,0.0,0.0,0.0,89.7,0.0,StatCan area #24600113
24600114,16.0,0.0,0.0,7.4,0.0,7.4,0.0,0.0,0.0,0.0,0.0,85.1,0.0,StatCan area #24600114
24600115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,0.0,StatCan area #24600115
24600116,23.2,0.0,0.0,8.8,0.0,8.0,5.6,0.0,0.0,0.0,0.0,76.0,1.6,StatCan area #24600116
24600117,20.2,0.0,0.0,15.8,0.0,3.5,0.0,0.0,0.0,0.0,0.0,79.8,0.0,StatCan area #24600117
24600118,16.7,0.0,0.0,11.1,0.0,1.9,2.8,0.0,0.0,0.0,0.0,79.6,4.6,StatCan area #24600118
24600119,8.6,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,6.2,StatCan area #24600119
24600120,20.9,0.0,0.0,11.9,0.0,0.0,7.5,0.0,0.0,0.0,0.0,77.6,0.0,StatCan area #24600120
24600121,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2,0.0,StatCan area #24600121
24600122,24.5,0.0,0.0,11.3,0.0,0.0,10.4,0.0,0.0,0.0,0.0,76.4,0.0,StatCan area #24600122
24600123,30.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,70.0,0.0,StatCan area #24600123
24600124,22.6,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.2,2.3,StatCan area #24600124
24600125,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9,0.0,StatCan area #24600125
