ctuid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous
5350820.03,5350820.03,60.1,21.5,3.7,15.3,3.2,2.2,1.0,2.0,4.1,0.0,0.0,39.4,0.5
5350820.04,5350820.04,73.6,23.0,3.6,30.3,5.5,1.9,0.8,0.0,1.9,0.0,0.0,25.8,0.8
5350820.05,5350820.05,75.3,35.3,2.7,18.3,2.7,4.0,1.5,1.7,3.3,0.6,0.0,24.7,0.0
5350820.06,5350820.06,27.4,8.2,1.3,4.5,4.7,2.4,1.1,0.5,1.1,0.0,0.8,70.0,2.6
5350820.07,5350820.07,49.5,18.6,4.8,15.1,1.7,1.5,1.1,0.0,1.7,0.0,0.2,49.1,1.1
5350830.00,5350830.00,13.7,3.3,5.2,1.9,0.8,0.2,0.3,0.0,0.6,0.4,1.1,84.8,1.4
5350831.01,5350831.01,6.3,1.4,0.4,0.7,0.4,0.0,0.4,0.0,0.6,0.0,0.5,92.3,1.4
5350831.02,5350831.02,6.4,0.9,0.8,0.8,1.5,0.1,0.4,0.0,0.0,0.4,0.0,91.8,1.8
5350832.00,5350832.00,6.2,0.8,1.4,0.6,0.8,0.0,0.3,0.0,0.0,0.0,0.4,92.0,1.8
4420001.00,4420001.00,5.3,0.0,0.4,3.9,0.0,0.0,0.8,0.0,0.0,0.0,0.0,91.2,3.4
4420002.00,4420002.00,5.6,0.0,1.0,2.6,0.0,0.8,0.4,0.0,0.0,0.0,0.0,91.5,3.0
4420003.00,4420003.00,4.8,0.0,0.0,2.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,91.7,3.7
4420004.00,4420004.00,10.2,0.5,1.1,4.6,0.0,2.2,0.8,0.7,0.0,0.0,0.0,88.7,1.2
4420005.00,4420005.00,6.4,0.0,0.0,4.6,0.0,0.5,0.5,0.0,0.0,0.0,0.0,89.5,4.3
4420006.00,4420006.00,4.7,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,1.8
4420007.00,4420007.00,2.4,0.0,0.0,1.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,95.8,1.9
4420008.00,4420008.00,24.2,2.5,2.9,11.3,0.0,5.0,1.6,0.5,0.0,0.0,0.0,73.4,2.3
4420009.00,4420009.00,22.1,0.0,0.0,9.9,0.0,4.3,7.7,0.0,0.0,0.0,0.0,76.8,1.1
4420010.00,4420010.00,18.2,0.0,0.8,11.9,0.0,2.1,2.5,0.0,0.0,0.0,0.0,80.2,1.6
4420011.00,4420011.00,11.6,0.0,0.0,5.3,0.0,1.0,3.7,0.0,0.0,0.0,0.0,85.8,2.8
4420012.01,4420012.01,17.0,0.0,0.0,8.6,0.0,4.7,2.1,0.6,0.0,0.0,0.0,78.3,4.7
4420012.02,4420012.02,11.0,0.5,0.0,4.8,0.0,2.1,1.7,0.6,0.0,0.0,0.0,87.1,1.9
4420013.01,4420013.01,4.5,0.0,0.4,1.5,0.0,0.9,1.5,0.0,0.0,0.0,0.0,94.7,0.9
4420013.02,4420013.02,4.5,0.0,0.3,0.7,0.0,1.4,1.5,0.7,0.0,0.0,0.0,94.2,1.5
4420013.03,4420013.03,2.7,0.0,0.0,0.8,0.0,0.3,0.9,0.0,0.0,0.0,0.0,93.9,3.5
4420100.01,4420100.01,8.2,0.0,0.3,4.0,0.5,1.2,1.6,0.5,0.0,0.0,0.0,89.7,2.0
4420100.02,4420100.02,2.8,0.0,0.0,1.3,0.2,0.0,0.3,0.0,0.0,0.0,0.0,95.8,1.3
4420101.02,4420101.02,5.8,0.0,0.7,2.9,0.0,0.8,1.0,0.3,0.0,0.0,0.0,93.3,1.0
4420101.03,4420101.03,3.9,0.0,0.0,0.6,0.0,0.7,1.9,0.0,0.0,0.0,0.0,94.2,1.8
4420101.04,4420101.04,8.5,0.0,0.3,3.3,0.0,1.9,1.3,0.7,0.0,0.0,0.0,89.8,1.7
4420102.00,4420102.00,1.8,0.1,0.0,0.9,0.0,0.0,0.5,0.0,0.0,0.0,0.0,97.3,0.9
4420200.00,4420200.00,5.1,0.0,0.4,2.0,0.0,0.2,1.7,0.0,0.0,0.0,0.0,93.6,1.4
4420201.00,4420201.00,2.5,0.0,0.0,1.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,94.8,2.7
4420202.00,4420202.00,0.7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8,1.5
4420203.00,4420203.00,3.4,0.0,0.6,1.3,0.0,0.8,0.4,0.0,0.0,0.0,0.0,93.6,3.0
4420204.00,4420204.00,5.8,0.0,0.0,2.6,0.0,0.9,1.7,0.0,0.0,0.0,0.0,91.8,2.5
4420205.01,4420205.01,3.9,0.2,0.2,2.1,0.0,0.6,0.9,0.0,0.0,0.0,0.0,94.6,1.6
4420205.02,4420205.02,4.1,0.0,0.4,0.7,0.0,1.2,1.0,0.0,0.0,0.0,0.0,94.0,1.7
4420205.03,4420205.03,5.5,0.0,0.8,1.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,91.3,3.1
4420210.00,4420210.00,2.4,0.0,0.0,1.1,0.0,0.2,0.6,0.0,0.0,0.0,0.0,96.4,1.3
4420211.00,4420211.00,1.3,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,96.5,2.2
4420212.00,4420212.00,1.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,96.5,2.1
4420213.00,4420213.00,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6,0.8
4420300.01,4420300.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9,61.5
4420300.02,4420300.02,1.5,0.1,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,97.6,1.0
4420301.00,4420301.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
4420302.00,4420302.00,0.9,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6,2.5
4420303.00,4420303.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.1,1.9
4420304.00,4420304.00,2.3,0.0,0.4,0.9,0.0,0.7,0.0,0.0,0.0,0.0,0.0,96.4,1.3
9330001.01,9330001.01,50.5,3.9,21.1,1.9,9.7,0.0,3.6,1.6,0.3,3.1,1.8,47.6,2.0
9330001.02,9330001.02,68.2,4.4,38.4,2.0,6.6,0.8,3.0,2.8,1.8,4.1,1.0,30.5,1.4
9330002.01,9330002.01,65.6,7.9,30.3,2.3,8.5,1.4,4.7,3.4,0.5,1.1,1.7,32.3,2.2
9330002.03,9330002.03,92.2,19.7,49.9,0.9,11.1,0.5,0.6,6.0,0.3,0.3,0.3,7.0,0.6
9330002.04,9330002.04,68.1,18.3,28.0,1.6,7.0,0.0,2.5,4.6,0.5,0.5,1.6,30.9,0.9
9330003.01,9330003.01,90.2,40.0,24.8,0.8,12.9,0.3,3.6,3.0,0.3,0.8,0.3,8.4,1.2
9330003.02,9330003.02,92.4,45.5,13.9,1.8,20.3,0.0,0.6,6.3,0.7,0.0,0.0,5.6,2.0
9330004.01,9330004.01,85.2,10.6,52.3,0.7,6.9,0.2,2.1,2.4,0.9,3.2,1.8,14.2,0.6
9330004.02,9330004.02,91.9,39.3,22.4,1.3,21.3,0.3,1.4,1.9,0.4,0.5,0.9,8.0,0.2
9330005.00,9330005.00,55.6,7.3,15.1,3.4,15.5,0.8,3.1,1.9,2.0,1.0,2.5,41.7,2.7
9330006.01,9330006.01,76.2,4.4,57.8,0.4,4.4,0.5,1.7,1.8,0.2,0.7,1.3,22.8,1.0
9330006.02,9330006.02,81.6,6.1,57.7,0.6,5.8,0.3,2.3,1.1,0.5,1.7,2.3,16.7,1.6
9330007.01,9330007.01,66.4,3.2,49.0,0.9,4.0,0.7,1.2,1.3,0.5,1.8,1.2,32.4,1.1
9330007.02,9330007.02,71.1,3.9,53.1,1.0,2.6,0.5,0.3,1.0,1.0,1.3,2.3,28.8,0.2
9330008.01,9330008.01,17.3,3.6,7.6,0.9,0.6,0.0,0.0,1.5,1.8,0.0,0.0,30.9,51.5
9330008.02,9330008.02,47.6,4.7,34.3,0.0,0.9,0.2,0.2,1.2,0.9,1.4,0.7,51.5,0.8
9330009.00,9330009.00,60.2,4.8,39.0,0.6,2.0,0.6,2.0,1.5,1.3,3.7,1.7,38.9,0.8
9330010.01,9330010.01,79.0,4.9,58.1,0.8,2.6,0.7,2.0,1.7,0.6,4.2,1.2,20.6,0.4
9330010.02,9330010.02,78.3,10.3,50.8,0.4,2.2,0.4,2.7,2.7,1.0,2.3,3.2,21.0,0.8
9330011.00,9330011.00,82.1,34.0,25.0,0.5,9.8,0.2,2.2,4.1,1.0,0.1,1.0,16.1,1.7
