dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
24570247,61.2,37.6,0.5,0.0,0.0,0.5,0.0,0.0,0.5,StatCan area #24570247
24570248,65.2,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570248
24570249,70.6,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570249
24570250,62.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570250
24570251,66.2,29.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9,StatCan area #24570251
24570252,71.1,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570252
24570253,74.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570253
24570254,62.7,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570254
24570255,73.9,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570255
24570256,60.8,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570256
24570257,61.0,33.9,4.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570257
24570258,53.5,35.9,8.5,0.0,0.0,0.6,0.0,0.0,0.0,StatCan area #24570258
24570260,62.4,33.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570260
24570261,65.7,31.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570261
24570262,57.8,31.9,9.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570262
24570263,62.9,32.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570263
24570264,57.4,32.4,10.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24570264
24580001,55.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580001
24580002,68.9,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580002
24580003,71.9,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580003
24580004,68.9,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580004
24580005,55.6,40.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580005
24580006,60.8,27.5,9.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580006
24580007,65.9,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580007
24580008,66.4,30.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580008
24580009,51.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580009
