date,exports_us,imports_us,exports_total,imports_total,exports_us_share,balance_us,balance_total,balance_row
2002-05-01,29162.3,17900.2,33231.8,28714.5,87.7541992910405,11262.099999999999,4517.300000000003,-6744.799999999996
2002-06-01,27722.3,18329.5,31966.7,29367.9,86.72243303187379,9392.8,2598.7999999999993,-6794.0
2002-07-01,28773.6,18332.5,32985.2,29321.3,87.23184943550442,10441.099999999999,3663.899999999998,-6777.200000000001
2002-08-01,29192.9,18958.8,33523.6,30089.0,87.08163801023757,10234.100000000002,3434.5999999999985,-6799.500000000004
2002-09-01,29706.3,18364.1,33847.9,29511.4,87.7640858073913,11342.2,4336.5,-7005.700000000001
2002-10-01,29538.4,18556.2,34119.8,29735.1,86.57260593555648,10982.2,4384.700000000004,-6597.499999999996
2002-11-01,29391.3,18668.4,33796.9,29685.8,86.96448490837916,10722.899999999998,4111.100000000002,-6611.799999999996
2002-12-01,28544.9,18028.3,33052.0,29842.5,86.363608858768,10516.600000000002,3209.5,-7307.100000000002
2003-01-01,28729.1,18253.3,33454.5,29560.0,85.87514385209762,10475.8,3894.5,-6581.299999999999
2003-02-01,28684.6,18159.9,33105.8,29347.0,86.64524041104579,10524.699999999997,3758.800000000003,-6765.899999999994
2003-03-01,29571.5,17631.1,34229.0,29035.0,86.39311694761751,11940.400000000001,5194.0,-6746.4000000000015
2003-04-01,27339.4,17464.1,31862.2,29174.9,85.80512331226343,9875.300000000003,2687.2999999999993,-7188.000000000004
2003-05-01,26581.3,17358.3,31091.9,28237.6,85.4926845898771,9223.0,2854.300000000003,-6368.699999999997
2003-06-01,25942.2,16699.4,30073.3,27567.9,86.2632301742742,9242.8,2505.399999999998,-6737.4000000000015
2003-07-01,27156.5,16430.9,31298.2,27241.0,86.76697062450876,10725.599999999999,4057.2000000000007,-6668.399999999998
2003-08-01,26076.1,15634.6,30354.8,25957.6,85.90437097263035,10441.499999999998,4397.200000000001,-6044.299999999997
2003-09-01,27461.3,16845.5,32062.0,27788.7,85.6506144345331,10615.8,4273.299999999999,-6342.5
2003-10-01,26335.8,16265.0,31091.7,27026.1,84.70363473209892,10070.8,4065.600000000002,-6005.199999999997
2003-11-01,26346.4,16420.7,31077.8,27318.9,84.7756276184286,9925.7,3758.899999999998,-6166.800000000003
2003-12-01,26576.0,16659.0,31471.1,27886.5,84.44572957411721,9917.0,3584.5999999999985,-6332.4000000000015
2004-01-01,25933.9,16022.2,30634.3,26345.1,84.65641454186974,9911.7,4289.200000000001,-5622.5
2004-02-01,27947.6,16809.0,32910.7,28199.1,84.91949426782172,11138.599999999999,4711.5999999999985,-6427.0
2004-03-01,28680.2,17164.4,33846.6,28661.3,84.73583757305018,11515.8,5185.299999999999,-6330.5
2004-04-01,29379.5,17453.6,34668.2,29268.8,84.7448093642012,11925.900000000001,5399.399999999998,-6526.500000000004
2004-05-01,30171.3,18198.3,35655.1,31405.0,84.61987205196452,11973.0,4250.0999999999985,-7722.9000000000015
2004-06-01,31523.0,17665.1,37245.2,30228.9,84.63640952391181,13857.900000000001,7016.299999999996,-6841.600000000006
2004-07-01,30354.6,18196.6,35904.0,31111.3,84.54378342245988,12158.0,4792.700000000001,-7365.299999999999
2004-08-01,30045.7,17772.2,35715.7,30404.1,84.12462866470489,12273.5,5311.5999999999985,-6961.9000000000015
2004-09-01,28746.0,17880.1,34079.5,30035.6,84.34982907613082,10865.900000000001,4043.9000000000015,-6822.0
2004-10-01,28495.1,17341.8,33994.9,30403.3,83.82169090069392,11153.3,3591.600000000002,-7561.699999999997
2004-11-01,28380.8,16754.5,33761.5,29359.0,84.06261570131659,11626.3,4402.5,-7223.799999999999
2004-12-01,28486.2,17729.3,33874.3,30464.6,84.09384105354206,10756.900000000001,3409.7000000000044,-7347.199999999997
2005-01-01,28736.3,17811.1,34390.6,31003.4,83.55858868411717,10925.2,3387.199999999997,-7538.000000000004
2005-02-01,29363.8,17677.3,34852.7,31109.7,84.25114840457124,11686.5,3742.9999999999964,-7943.500000000004
2005-03-01,28774.0,17590.2,34301.3,31072.5,83.88603347394996,11183.8,3228.800000000003,-7954.999999999996
2005-04-01,29296.6,17902.7,35053.1,31092.6,83.57777200875243,11393.899999999998,3960.5,-7433.399999999998
2005-05-01,30214.9,18285.2,35978.4,32174.7,83.98066617748427,11929.7,3803.7000000000007,-8126.0
2005-06-01,29278.2,18307.3,35412.0,32230.3,82.67875296509658,10970.900000000001,3181.7000000000007,-7789.200000000001
2005-07-01,29671.6,17513.4,35422.4,31090.1,83.7650752066489,12158.199999999997,4332.300000000003,-7825.899999999994
2005-08-01,30514.0,18122.0,36765.2,31883.5,82.99696452079685,12392.0,4881.699999999997,-7510.300000000003
2005-09-01,31784.0,17847.0,37898.6,32227.7,83.86589478239303,13937.0,5670.899999999998,-8266.100000000002
2005-10-01,33362.0,17888.6,39289.8,31983.8,84.91262363259675,15473.400000000001,7306.000000000004,-8167.399999999998
2005-11-01,31766.4,17822.0,37831.7,32012.1,83.96767789975075,13944.400000000001,5819.5999999999985,-8124.800000000003
2005-12-01,32978.9,18388.3,39154.8,32977.6,84.22696578708101,14590.600000000002,6177.200000000004,-8413.399999999998
2006-01-01,31824.6,18251.7,38034.7,32992.9,83.67254112691832,13572.899999999998,5041.799999999996,-8531.100000000002
2006-02-01,30315.2,17734.5,36555.2,31414.0,82.92992515428722,12580.7,5141.199999999997,-7439.500000000004
2006-03-01,29826.3,18031.2,36335.5,32557.1,82.0858389178627,11795.099999999999,3778.4000000000015,-8016.699999999997
2006-04-01,29986.7,18038.8,36011.2,32677.7,83.27048251655042,11947.900000000001,3333.4999999999964,-8614.400000000005
2006-05-01,29655.0,17708.8,36121.4,32973.0,82.09814680494111,11946.2,3148.4000000000015,-8797.8
2006-06-01,29842.1,18281.3,36584.3,33299.2,81.57078309548083,11560.8,3285.100000000006,-8275.699999999993
2006-07-01,29829.6,18128.3,36463.4,33363.9,81.80696259811208,11701.3,3099.5,-8601.8
2006-08-01,29791.4,18535.3,36591.8,33943.1,81.41550839259068,11256.100000000002,2648.7000000000044,-8607.399999999998
2006-09-01,29051.0,18007.7,36450.5,33480.7,79.69986694284029,11043.3,2969.800000000003,-8073.499999999996
2006-10-01,28476.1,17821.5,35680.2,32658.2,79.80924994815052,10654.599999999999,3021.9999999999964,-7632.600000000002
2006-11-01,29566.8,18344.9,36797.3,33369.3,80.35046049574288,11221.899999999998,3428.0,-7793.899999999998
2006-12-01,30969.9,18961.1,38739.6,34314.8,79.943778459251,12008.800000000003,4424.799999999996,-7584.000000000007
2007-01-01,30654.7,18666.0,38676.8,33914.9,79.25862532577669,11988.7,4761.9000000000015,-7226.799999999999
2007-02-01,30592.6,18712.7,38094.1,34420.0,80.30797420072925,11879.899999999998,3674.0999999999985,-8205.8
2007-03-01,31703.1,19315.5,39673.3,35334.7,79.9104183418067,12387.599999999999,4338.600000000006,-8048.999999999993
2007-04-01,30837.5,18967.1,39460.0,34927.6,78.14875823618854,11870.400000000001,4532.4000000000015,-7338.0
2007-05-01,30083.0,18565.0,38587.7,33851.9,77.96007536080151,11518.0,4735.799999999996,-6782.200000000004
2007-06-01,30189.4,18625.5,38441.2,33952.2,78.53396876268171,11563.900000000001,4489.0,-7074.9000000000015
2007-07-01,29231.8,18484.3,37161.9,34205.8,78.66067127891738,10747.5,2956.0999999999985,-7791.4000000000015
2007-08-01,29155.4,18233.5,36989.9,33829.4,78.8198940791946,10921.900000000001,3160.5,-7761.4000000000015
2007-09-01,28697.5,18319.5,36104.6,33709.4,79.48433163641198,10378.0,2395.199999999997,-7982.800000000003
2007-10-01,27868.1,17460.0,35392.6,32497.9,78.73990608206235,10408.099999999999,2894.699999999997,-7513.4000000000015
2007-11-01,28377.2,17789.2,36371.8,33358.3,78.01978455836664,10588.0,3013.5,-7574.5
2007-12-01,28219.6,17752.0,35366.8,33299.0,79.79121662123798,10467.599999999999,2067.800000000003,-8399.799999999996
2008-01-01,28458.3,18219.5,36791.0,34098.0,77.35125438286538,10238.8,2693.0,-7545.799999999999
2008-02-01,29890.8,18055.6,38288.4,34152.6,78.06750869715108,11835.2,4135.800000000003,-7699.399999999998
2008-03-01,30553.3,18036.8,38869.7,34546.8,78.60441423525265,12516.5,4322.899999999994,-8193.600000000006
2008-04-01,31777.9,18498.6,40390.0,34558.6,78.67764298093589,13279.300000000003,5831.4000000000015,-7447.9000000000015
2008-05-01,31626.7,19187.5,41647.9,36976.0,75.93828260248415,12439.2,4671.9000000000015,-7767.299999999999
2008-06-01,32828.4,19275.2,42187.0,37735.0,77.81638893497997,13553.2,4452.0,-9101.2
2008-07-01,35588.1,20079.2,44955.1,38169.0,79.16365440183651,15508.899999999998,6786.0999999999985,-8722.8
2008-08-01,32425.6,19052.7,42110.6,36213.0,77.00104011816502,13372.899999999998,5897.5999999999985,-7475.299999999999
2008-09-01,32489.9,19322.8,41838.7,37485.5,77.65513746842039,13167.100000000002,4353.199999999997,-8813.900000000005
2008-10-01,33066.4,20035.1,42660.9,38358.8,77.50985094079121,13031.300000000003,4302.0999999999985,-8729.200000000004
2008-11-01,30057.9,19533.3,38862.2,36777.0,77.344823504588,10524.600000000002,2085.199999999997,-8439.400000000005
2008-12-01,26716.4,17950.0,34886.7,34928.7,76.58047336090831,8766.400000000001,-42.0,-8808.400000000001
2009-01-01,22805.7,15936.2,30472.6,31658.5,74.84002021488158,6869.5,-1185.9000000000015,-8055.4000000000015
2009-02-01,23934.0,16598.8,31709.7,31842.3,75.47848134797869,7335.200000000001,-132.59999999999854,-7467.799999999999
2009-03-01,22579.7,15512.8,30871.8,30200.4,73.1402121029548,7066.9000000000015,671.3999999999978,-6395.500000000004
2009-04-01,21957.2,15743.4,29675.9,30464.5,73.99000535788299,6213.800000000001,-788.5999999999985,-7002.4
2009-05-01,20017.0,14470.8,27527.7,28625.6,72.71584622035259,5546.200000000001,-1097.8999999999978,-6644.0999999999985
2009-06-01,21188.8,14556.3,28489.7,28822.8,74.37354552697992,6632.5,-333.09999999999854,-6965.5999999999985
2009-07-01,23458.6,15666.8,31109.2,30986.2,75.40727501832255,7791.799999999999,123.0,-7668.799999999999
2009-08-01,22148.7,15263.9,28945.8,29962.7,76.51783678461125,6884.800000000001,-1016.9000000000015,-7901.700000000003
2009-09-01,22120.4,15660.2,29346.5,30147.3,75.37662072138075,6460.200000000001,-800.7999999999993,-7261.0
2009-10-01,22572.1,15118.0,29879.0,29622.9,75.54503162756451,7454.0999999999985,256.09999999999854,-7198.0
2009-11-01,22980.3,16045.9,30257.8,31195.6,75.94835050796819,6934.4,-937.7999999999993,-7872.199999999999
2009-12-01,24328.1,16230.5,31467.9,31830.7,77.31084692655054,8097.5999999999985,-362.7999999999993,-8460.399999999998
2010-01-01,23919.9,15835.5,31581.9,31108.6,75.73926837840662,8084.4000000000015,473.3000000000029,-7611.0999999999985
2010-02-01,24428.9,16697.6,32232.1,32044.2,75.79059384898906,7731.300000000003,187.89999999999782,-7543.400000000005
2010-03-01,24225.8,16658.8,32592.4,32841.9,74.32959831126274,7567.0,-249.5,-7816.5
2010-04-01,24442.4,16524.5,32348.0,32412.0,75.56077655496476,7917.9000000000015,-64.0,-7981.9000000000015
2010-05-01,25744.0,17310.1,33809.0,34235.3,76.14540506965601,8433.900000000001,-426.3000000000029,-8860.200000000004
2010-06-01,25585.2,17500.0,33255.6,34129.0,76.93501244903115,8085.200000000001,-873.4000000000015,-8958.600000000002
2010-07-01,24747.0,17326.8,32597.5,34205.8,75.91686479024466,7420.200000000001,-1608.300000000003,-9028.500000000004
2010-08-01,25354.7,17242.8,33464.4,34459.5,75.76618735133455,8111.9000000000015,-995.0999999999985,-9107.0
2010-09-01,24413.6,17351.0,32842.7,34892.9,74.33493592183346,7062.5999999999985,-2050.2000000000044,-9112.800000000003
2010-10-01,24414.0,16999.3,33332.0,34743.2,73.24492979719189,7414.700000000001,-1411.199999999997,-8825.899999999998
2010-11-01,24526.5,16898.8,33831.2,34133.5,72.49668944642815,7627.700000000001,-302.3000000000029,-7930.000000000004
