year,decile,avg_income
2016,Fifth decile,53000.0
2016,Fourth decile,45400.0
2016,Highest decile,146500.0
2016,Lowest decile,17100.0
2016,Ninth decile,95000.0
2016,Second decile,30100.0
2016,Seventh decile,69100.0
2016,Sixth decile,60800.0
2016,Third decile,38200.0
2017,Eighth decile,81900.0
2017,Fifth decile,53800.0
2017,Fourth decile,46200.0
2017,Highest decile,152200.0
2017,Lowest decile,17700.0
2017,Ninth decile,97700.0
2017,Second decile,30800.0
2017,Seventh decile,70700.0
2017,Sixth decile,62000.0
2017,Third decile,38700.0
2018,Eighth decile,81900.0
2018,Fifth decile,54600.0
2018,Fourth decile,47200.0
2018,Highest decile,151000.0
2018,Lowest decile,17700.0
2018,Ninth decile,98000.0
2018,Second decile,31400.0
2018,Seventh decile,71000.0
2018,Sixth decile,62300.0
2018,Third decile,39700.0
2019,Eighth decile,82800.0
2019,Fifth decile,55300.0
2019,Fourth decile,47700.0
2019,Highest decile,149300.0
2019,Lowest decile,18500.0
2019,Ninth decile,98500.0
2019,Second decile,32000.0
2019,Seventh decile,71700.0
2019,Sixth decile,63100.0
2019,Third decile,40100.0
2020,Eighth decile,85800.0
2020,Fifth decile,58400.0
2020,Fourth decile,51100.0
2020,Highest decile,153100.0
2020,Lowest decile,23000.0
2020,Ninth decile,101600.0
2020,Second decile,36200.0
2020,Seventh decile,74900.0
2020,Sixth decile,66000.0
2020,Third decile,44000.0
2021,Eighth decile,85000.0
2021,Fifth decile,58100.0
2021,Fourth decile,50900.0
2021,Highest decile,156600.0
2021,Lowest decile,19200.0
2021,Ninth decile,100600.0
2021,Second decile,35100.0
2021,Seventh decile,74400.0
2021,Sixth decile,65700.0
2021,Third decile,43400.0
2022,Eighth decile,85000.0
2022,Fifth decile,57200.0
2022,Fourth decile,49600.0
2022,Highest decile,159200.0
2022,Lowest decile,18100.0
2022,Ninth decile,101100.0
2022,Second decile,33300.0
2022,Seventh decile,73900.0
2022,Sixth decile,65100.0
2022,Third decile,42000.0
2023,Eighth decile,85800.0
2023,Fifth decile,57700.0
2023,Fourth decile,50100.0
2023,Highest decile,159100.0
2023,Lowest decile,18300.0
2023,Ninth decile,102000.0
2023,Second decile,33500.0
2023,Seventh decile,74700.0
2023,Sixth decile,65800.0
2023,Third decile,42200.0
2024,Eighth decile,87400.0
2024,Fifth decile,58500.0
2024,Fourth decile,50600.0
2024,Highest decile,163600.0
2024,Lowest decile,18900.0
2024,Ninth decile,104100.0
2024,Second decile,33600.0
2024,Seventh decile,75900.0
2024,Sixth decile,66800.0
2024,Third decile,42600.0
