year,geo,avg_weekly_wage
2022,New Brunswick,1032.77
2022,Newfoundland and Labrador,1146.26
2022,Nova Scotia,1017.19
2022,Ontario,1218.08
2022,Prince Edward Island,1004.73
2022,Quebec,1107.01
2022,Saskatchewan,1139.77
2023,Alberta,1323.61
2023,British Columbia,1270.38
2023,Canada,1233.4
2023,Manitoba,1082.38
2023,New Brunswick,1077.4
2023,Newfoundland and Labrador,1221.7
2023,Nova Scotia,1071.13
2023,Ontario,1279.16
2023,Prince Edward Island,1044.18
2023,Quebec,1152.27
2023,Saskatchewan,1178.72
2024,Alberta,1377.29
2024,British Columbia,1336.98
2024,Canada,1290.3
2024,Manitoba,1112.32
2024,New Brunswick,1128.91
2024,Newfoundland and Labrador,1273.83
2024,Nova Scotia,1139.62
2024,Ontario,1339.01
2024,Prince Edward Island,1110.08
2024,Quebec,1205.41
2024,Saskatchewan,1216.29
2025,Alberta,1407.16
2025,British Columbia,1378.69
2025,Canada,1329.77
2025,Manitoba,1155.71
2025,New Brunswick,1167.31
2025,Newfoundland and Labrador,1295.09
2025,Nova Scotia,1198.05
2025,Ontario,1381.64
2025,Prince Edward Island,1128.34
2025,Quebec,1242.71
2025,Saskatchewan,1246.05
